,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,type,isFraud
2207482,19001.27,21072.0,2070.73,0.0,0.0,PAYMENT,0
3397299,253618.29,100549.0,354167.29,0.0,0.0,CASH_IN,0
4290953,35024.29,0.0,0.0,0.0,0.0,PAYMENT,0
6312074,83893.19,98553.0,182446.19,95291.69,11398.5,CASH_IN,0
3899600,239158.66,7336303.18,7575461.84,810663.92,298331.99,CASH_IN,0
1815923,16840.26,42683.0,59523.26,220522.77,203682.5,CASH_IN,0
6009929,77693.7,7618668.67,7696362.37,154393.36,76699.66,CASH_IN,0
809182,2558.64,0.0,0.0,0.0,0.0,PAYMENT,0
3748208,11072.65,0.0,0.0,0.0,0.0,PAYMENT,0
5559906,15951.28,137161.0,121209.72,0.0,0.0,PAYMENT,0
2609008,10605.88,56026.76,45420.88,0.0,0.0,PAYMENT,0
2043986,38759.46,95941.0,57181.54,0.0,0.0,PAYMENT,0
1742565,9088.76,0.0,0.0,0.0,0.0,PAYMENT,0
4589195,88298.44,31033.0,0.0,978772.09,1067070.53,CASH_OUT,0
2031881,26184.62,15653387.27,15679571.89,22790044.9,22763860.28,CASH_IN,0
4633209,10567.05,39111.0,28543.95,35919.4,46486.45,CASH_OUT,0
3691688,22613.42,0.0,0.0,0.0,0.0,PAYMENT,0
10725,5429.38,50058.0,44628.62,0.0,0.0,PAYMENT,0
4053862,43356.19,22463.0,0.0,0.0,43356.19,CASH_OUT,0
2411107,22958.04,1523.18,0.0,0.0,0.0,PAYMENT,0
3806145,5618.09,924.0,0.0,0.0,0.0,PAYMENT,0
2824111,168582.05,7439010.54,7607592.59,1030512.06,945782.66,CASH_IN,0
435449,36679.4,247023.39,210343.99,111745.71,148425.11,CASH_OUT,0
1200298,64808.91,9063121.54,9127930.44,376295.53,311486.62,CASH_IN,0
4856084,3613.75,170845.0,167231.25,0.0,0.0,PAYMENT,0
1329597,416095.78,0.0,0.0,1112067.72,1528163.5,CASH_OUT,0
112918,7260.98,4325159.27,4332420.25,72396.71,65135.73,CASH_IN,0
5026931,11852.21,0.0,0.0,0.0,0.0,PAYMENT,0
5542618,13021.49,30896.0,17874.51,0.0,0.0,PAYMENT,0
425414,7800.66,0.0,0.0,0.0,0.0,PAYMENT,0
6164659,1704.06,175431.78,173727.72,0.0,0.0,PAYMENT,0
5584537,32242.99,41338.0,9095.01,0.0,0.0,PAYMENT,0
626260,375.91,169030.19,168654.29,0.0,0.0,PAYMENT,0
3116362,503436.71,1047374.55,1550811.26,4358637.85,3855201.14,CASH_IN,0
3417700,62087.24,0.0,0.0,2687913.09,2750000.33,CASH_OUT,0
5406218,122684.37,2356918.46,2479602.83,502879.06,380194.69,CASH_IN,0
3430411,160314.96,0.0,0.0,1814856.2,1975171.16,CASH_OUT,0
4886549,57139.78,0.0,0.0,640504.76,697644.54,CASH_OUT,0
3470416,1061999.3,31469.0,0.0,1707169.49,2769168.8,TRANSFER,0
4855991,1466909.13,0.0,0.0,11939082.67,13405991.8,TRANSFER,0
934039,539396.33,273349.0,812745.33,0.0,0.0,CASH_IN,0
1302103,67204.52,56868.0,0.0,3065511.3,3132715.82,CASH_OUT,0
4647050,18863.85,0.0,0.0,2632879.8,2651743.65,CASH_OUT,0
440500,36205.6,6557.0,0.0,11477.0,64526.56,CASH_OUT,0
1189618,200887.54,0.0,0.0,2495138.0,2696025.53,TRANSFER,0
4071165,38079.1,0.0,0.0,0.0,0.0,PAYMENT,0
3637528,304251.07,4455540.2,4759791.27,3021626.61,2717375.54,CASH_IN,0
728048,3365.87,234912.0,231546.13,0.0,0.0,PAYMENT,0
5411477,30772.32,41293.0,72065.32,482193.03,451420.71,CASH_IN,0
4089036,107187.32,517548.02,624735.35,656416.04,549228.72,CASH_IN,0
4490295,21780.39,272793.39,251013.0,0.0,0.0,PAYMENT,0
820682,153609.73,33055.0,0.0,0.0,153609.73,CASH_OUT,0
2067977,94482.61,0.0,0.0,2100377.73,2194860.34,CASH_OUT,0
2852789,203106.35,0.0,0.0,312129.36,515235.71,CASH_OUT,0
5774964,232696.4,2453.0,0.0,190663.14,423359.54,CASH_OUT,0
161209,122210.21,4687993.08,4810203.29,4920665.3,4569130.76,CASH_IN,0
2045720,361667.23,28517.0,390184.23,10605468.12,10243800.89,CASH_IN,0
3059484,91782.0,0.0,0.0,120904.05,212686.04,CASH_OUT,0
3234210,56734.08,2614.0,59348.08,0.0,0.0,CASH_IN,0
1656264,227132.55,0.0,0.0,465250.18,692382.72,CASH_OUT,0
728604,9690.37,0.0,0.0,0.0,0.0,PAYMENT,0
4880267,187207.6,339628.79,152421.19,221016.44,408224.04,CASH_OUT,0
4821270,247836.04,0.0,0.0,494291.78,824307.33,CASH_OUT,0
4838283,143806.02,11412.0,0.0,1211728.55,1355534.57,CASH_OUT,0
3340987,21726.43,371.0,0.0,267667.34,289393.77,CASH_OUT,0
5923073,264287.18,31342.0,0.0,0.0,264287.18,CASH_OUT,0
4911239,232090.09,25140.0,257230.09,0.0,0.0,CASH_IN,0
2407978,17747.22,29764.0,47511.22,0.0,0.0,CASH_IN,0
5510642,11997.93,0.0,0.0,0.0,0.0,PAYMENT,0
5003553,1590.54,17655.81,16065.27,0.0,0.0,PAYMENT,0
2430672,33146.75,728701.45,761848.2,240871.44,207724.68,CASH_IN,0
1320926,169288.44,32169.0,0.0,494664.02,882571.32,CASH_OUT,0
831650,210857.91,40232.0,0.0,0.0,210857.91,CASH_OUT,0
4355121,333822.64,3081752.9,3415575.54,1039950.64,706128.01,CASH_IN,0
2975585,157823.38,1514.0,0.0,340895.29,498718.67,CASH_OUT,0
3112990,164414.72,0.0,0.0,4523167.3,4687582.02,CASH_OUT,0
3840423,35077.07,0.0,0.0,0.0,0.0,PAYMENT,0
2129909,24803.38,394.0,0.0,0.0,0.0,PAYMENT,0
1467354,14278.07,179224.63,164946.56,0.0,0.0,PAYMENT,0
2136428,277056.8,6148.0,0.0,310923.44,587980.24,CASH_OUT,0
5134363,13287.46,482.0,0.0,0.0,0.0,PAYMENT,0
6069565,103343.49,0.0,0.0,1053804.68,1157148.17,CASH_OUT,0
1369020,15991.28,53970.11,37978.83,0.0,0.0,PAYMENT,0
1642020,172569.86,0.0,0.0,825883.16,998453.02,CASH_OUT,0
370689,98549.16,4221876.15,4320425.32,1527742.61,1540465.81,CASH_IN,0
2733980,45261.76,656312.0,611050.24,3472130.02,3517391.78,CASH_OUT,0
2488688,219852.13,1742592.27,1962444.39,2160496.02,1940643.89,CASH_IN,0
5223702,751641.27,0.0,0.0,8984511.25,9736152.51,TRANSFER,0
4027978,391056.62,119.0,391175.62,0.0,0.0,CASH_IN,0
31280,20538.84,45945.0,25406.16,0.0,0.0,PAYMENT,0
3268103,147075.39,518857.0,371781.61,0.0,147075.39,CASH_OUT,0
4795729,917.25,36077.0,35159.75,0.0,0.0,PAYMENT,0
5246752,38445.41,0.0,0.0,4407434.1,4445879.51,CASH_OUT,0
6306161,3915.41,39799.0,35883.59,0.0,0.0,PAYMENT,0
4558775,10127.12,30651.0,20523.88,0.0,0.0,PAYMENT,0
6276526,216365.36,6313.0,0.0,0.0,216365.36,CASH_OUT,0
1889610,292425.27,6040.0,0.0,0.0,292425.27,CASH_OUT,0
585798,43511.28,1355878.21,1399389.5,325982.59,282471.31,CASH_IN,0
898591,16627.02,0.0,0.0,0.0,0.0,PAYMENT,0
5439470,46791.91,0.0,0.0,1594098.55,1640890.46,CASH_OUT,0
2498847,23400.54,11812.16,0.0,0.0,0.0,PAYMENT,0
3457408,10907.08,10198.0,0.0,0.0,0.0,PAYMENT,0
3597113,110574.43,7176108.23,7286682.65,4173314.11,4062739.68,CASH_IN,0
4433362,340265.31,351319.0,11053.69,2059415.84,2399681.14,CASH_OUT,0
3700377,295193.36,0.0,0.0,622014.02,917207.38,CASH_OUT,0
871746,165114.52,3458682.01,3623796.53,200723.11,35608.58,CASH_IN,0
3884825,15794.78,49007.0,33212.22,0.0,0.0,PAYMENT,0
5555320,52393.53,311174.61,258781.08,0.0,0.0,PAYMENT,0
737746,237858.02,1057209.78,1295067.8,2771501.31,2533643.29,CASH_IN,0
3715711,252664.68,1285582.21,1538246.89,1789465.31,1536800.63,CASH_IN,0
1749403,63101.12,126616.0,63514.88,2444499.97,2507601.08,CASH_OUT,0
2486249,203355.75,151.0,0.0,248054.26,451410.02,CASH_OUT,0
2778630,25704.48,29855.0,4150.52,0.0,0.0,PAYMENT,0
3856248,192365.64,0.0,0.0,349839.88,542205.52,CASH_OUT,0
6347569,3325.54,27804.0,24478.46,0.0,0.0,PAYMENT,0
2774883,55248.65,353405.0,408653.65,0.0,0.0,CASH_IN,0
5327210,24374.26,0.0,0.0,0.0,0.0,PAYMENT,0
3497983,5181.68,53962.0,48780.32,0.0,0.0,PAYMENT,0
4769411,18867.92,4555.0,0.0,0.0,0.0,PAYMENT,0
5188371,31331.47,152293.0,120961.53,1755325.66,1786657.13,CASH_OUT,0
2404233,6085.5,280866.0,274780.5,0.0,0.0,PAYMENT,0
5684688,102740.27,7329233.75,7431974.03,944950.2,842209.93,CASH_IN,0
39811,4868.35,100184.67,95316.32,0.0,0.0,PAYMENT,0
5332679,16299.91,0.0,0.0,0.0,0.0,PAYMENT,0
5017204,12124.08,0.0,0.0,0.0,0.0,PAYMENT,0
4169650,184832.98,77.0,0.0,168412.29,353245.27,CASH_OUT,0
5814050,21280.6,40404.0,19123.4,4212369.14,4233649.74,CASH_OUT,0
3769317,21550.26,0.0,0.0,0.0,0.0,PAYMENT,0
5855400,12442.15,12940822.06,12953264.21,5442425.6,5429983.45,CASH_IN,0
180784,240563.19,0.0,0.0,3525889.8,3766452.99,CASH_OUT,0
3605237,6183.28,0.0,0.0,0.0,0.0,PAYMENT,0
1699930,139956.59,146928.0,6971.41,0.0,139956.59,CASH_OUT,0
1420494,5729.04,0.0,0.0,0.0,0.0,PAYMENT,0
3716345,611989.98,33504.0,0.0,18745.82,855498.77,TRANSFER,0
1265153,50294.08,295163.0,244868.92,289265.94,339560.02,CASH_OUT,0
525756,1674.05,21136.0,19461.95,0.0,0.0,PAYMENT,0
5760931,157109.21,0.0,0.0,328500.53,485609.74,CASH_OUT,0
2864535,18138.73,28008.61,9869.88,0.0,0.0,PAYMENT,0
237301,50954.04,4345314.71,4396268.75,505617.22,326432.23,CASH_IN,0
2024524,1075108.01,0.0,0.0,1972654.2,3047762.21,TRANSFER,0
838691,409448.99,331.0,0.0,6596993.16,7006442.15,TRANSFER,0
2881058,30535.7,0.0,0.0,0.0,0.0,PAYMENT,0
1141162,2979.28,192194.0,195173.28,0.0,0.0,CASH_IN,0
5112165,309854.77,1065.0,310919.77,276387.57,0.0,CASH_IN,0
1037667,39020.34,39512.0,491.66,4812169.38,4851189.72,CASH_OUT,0
579348,22470.24,65872.68,43402.44,0.0,0.0,PAYMENT,0
4609835,97827.39,48733.0,146560.39,2369483.9,2271656.51,CASH_IN,0
3806958,2851.01,0.0,0.0,0.0,0.0,PAYMENT,0
425773,250687.68,361893.31,111205.63,260818.58,567772.64,CASH_OUT,0
896352,274755.5,3786714.84,4061470.33,11539824.2,11470378.19,CASH_IN,0
2499685,40619.34,189.0,40808.34,8077.02,0.0,CASH_IN,0
2479052,22585.05,29124.0,51709.05,2256438.88,2233853.83,CASH_IN,0
4121269,8082.75,0.0,0.0,0.0,0.0,PAYMENT,0
274601,5518.98,0.0,0.0,0.0,0.0,PAYMENT,0
2616003,431530.14,4164727.88,4596258.02,3736440.33,3304910.2,CASH_IN,0
4368426,995464.92,0.0,0.0,1239183.84,2234648.76,TRANSFER,0
5830353,191016.14,0.0,0.0,508887.55,699903.69,TRANSFER,0
3824098,42754.02,79848.0,37093.98,0.0,42754.02,CASH_OUT,0
855883,7524.46,179055.0,171530.54,0.0,7524.46,CASH_OUT,0
4363814,16960.63,65931.9,48971.27,0.0,0.0,PAYMENT,0
69395,21446.04,204016.0,182569.96,0.0,0.0,PAYMENT,0
1477235,389159.92,0.0,0.0,588325.31,977485.23,CASH_OUT,0
5421757,90986.27,14030954.96,14121941.23,953185.89,700037.05,CASH_IN,0
4795185,35410.51,0.0,0.0,0.0,0.0,PAYMENT,0
4612139,243858.48,103171.0,347029.48,5659771.33,5415912.85,CASH_IN,0
993542,11899.72,57.0,0.0,0.0,0.0,PAYMENT,0
1967733,5751.31,45.0,0.0,0.0,0.0,PAYMENT,0
3990691,164004.11,0.0,0.0,1070359.12,1234363.22,CASH_OUT,0
4172900,28156.92,0.0,0.0,0.0,0.0,PAYMENT,0
1514812,3141.75,0.0,0.0,0.0,0.0,PAYMENT,0
4905076,242315.7,9930.0,0.0,0.0,242315.7,CASH_OUT,0
1953641,110452.65,584.0,111036.65,2502105.06,2391652.42,CASH_IN,0
4098694,31795.03,0.0,0.0,0.0,0.0,PAYMENT,0
1765948,150342.05,5364903.99,5515246.04,156123.21,5781.16,CASH_IN,0
94824,283271.62,10666553.29,10949824.91,1303275.63,950473.9,CASH_IN,0
378488,299879.33,0.0,0.0,1054628.77,1354508.09,CASH_OUT,0
4586142,228701.87,6462966.44,6691668.32,363983.19,135281.31,CASH_IN,0
4389954,781.21,339598.0,338816.79,0.0,0.0,PAYMENT,0
4337050,90771.49,0.0,0.0,279827.2,370598.69,CASH_OUT,0
1142251,87689.24,1505641.98,1593331.22,5525826.49,5438137.25,CASH_IN,0
3487163,216185.64,28429.0,244614.64,0.0,0.0,CASH_IN,0
5027238,14595.87,0.0,0.0,0.0,0.0,PAYMENT,0
1118342,41691.52,20757.0,62448.52,25917.12,0.0,CASH_IN,0
6057882,18933.35,41571.0,22637.65,203060.38,221993.73,CASH_OUT,0
6041360,92366.25,3177.95,95544.2,1671059.76,1578693.51,CASH_IN,0
4990659,26336.36,29895.0,3558.64,0.0,0.0,PAYMENT,0
3061676,127254.42,867.0,128121.42,119412.37,0.0,CASH_IN,0
4806061,123540.85,3672584.52,3796125.37,347992.06,224451.21,CASH_IN,0
5176914,10626.57,131771.0,121144.43,0.0,0.0,PAYMENT,0
1816937,77942.72,83006.0,5063.28,0.0,77942.72,CASH_OUT,0
6066356,42301.93,28815.0,0.0,0.0,0.0,PAYMENT,0
1707106,69888.88,0.0,0.0,221174.9,291063.79,CASH_OUT,0
5683406,31859.73,40080.0,8220.27,1797170.57,1829030.3,CASH_OUT,0
3304912,3899.83,3393.0,0.0,0.0,0.0,PAYMENT,0
2100539,196203.83,10154691.29,10350895.12,907993.82,504398.45,CASH_IN,0
5067666,7673.1,249665.95,257339.05,969387.07,961713.98,CASH_IN,0
982963,81723.37,11029.0,0.0,497931.49,980265.81,CASH_OUT,0
1099134,131516.31,192.0,0.0,0.0,131516.31,CASH_OUT,0
5823178,282566.75,55388.0,337954.75,0.0,0.0,CASH_IN,0
147276,347297.29,208580.0,0.0,4813263.91,5242214.04,CASH_OUT,0
3671278,10250.39,148195.78,137945.39,24871.99,35122.38,CASH_OUT,0
5809962,363706.2,0.0,0.0,419661.01,783367.21,CASH_OUT,0
1569052,116834.45,46320.0,163154.45,0.0,0.0,CASH_IN,0
4390150,2257.59,0.0,0.0,0.0,0.0,PAYMENT,0
4553972,192499.36,20680.0,0.0,43626.32,236125.68,CASH_OUT,0
2851670,391982.14,496878.0,104895.86,158664.06,550646.2,TRANSFER,0
3740816,193145.53,10038.0,203183.53,0.0,0.0,CASH_IN,0
5947926,9357.31,9522.0,164.69,0.0,0.0,PAYMENT,0
353934,141991.76,0.0,0.0,192656.9,334648.66,TRANSFER,0
2594258,297148.04,28315.0,0.0,0.0,297148.04,CASH_OUT,0
3276275,122456.32,10511.0,132967.32,40271.22,0.0,CASH_IN,0
5714793,191646.76,0.0,0.0,438139.33,629786.09,TRANSFER,0
1580664,173255.91,0.0,0.0,3448343.01,3621598.91,CASH_OUT,0
4962464,184170.43,0.0,0.0,841149.58,1025320.01,CASH_OUT,0
1745003,216825.93,0.0,0.0,285500.88,502326.81,TRANSFER,0
2605818,61319.75,851.0,62170.75,7452993.62,7391673.87,CASH_IN,0
4540114,378955.2,216.0,379171.2,0.0,0.0,CASH_IN,0
3012336,4697.64,0.0,0.0,0.0,0.0,PAYMENT,0
5762098,106736.8,64800.34,0.0,500865.4,607602.2,CASH_OUT,0
4527238,181690.34,90107.0,0.0,0.0,181690.34,CASH_OUT,0
885838,100132.48,478.82,0.0,239428.69,339561.17,CASH_OUT,0
122761,237814.92,1583.0,0.0,380796.88,594225.02,CASH_OUT,0
3790343,69410.68,20484038.51,20553449.19,201444.5,132033.82,CASH_IN,0
5155895,7525.38,30379.0,37904.38,5361254.17,5353728.79,CASH_IN,0
102132,18823.19,293.0,0.0,0.0,18823.19,CASH_OUT,0
1778554,338623.34,84962.26,0.0,574553.05,913176.39,CASH_OUT,0
4382475,6113.04,100370.0,94256.96,0.0,0.0,PAYMENT,0
4684103,182231.8,10691.0,192922.8,352764.43,170532.63,CASH_IN,0
3995599,318452.21,16025.0,334477.21,0.0,0.0,CASH_IN,0
4597860,8308.61,0.0,0.0,0.0,0.0,PAYMENT,0
5741687,2618.9,0.0,0.0,0.0,0.0,PAYMENT,0
2036437,39121.14,0.0,0.0,0.0,0.0,PAYMENT,0
4914809,30205.77,163736.17,193941.94,562566.16,532360.39,CASH_IN,0
5063590,1093.96,39762.0,38668.04,61292.0,62385.96,DEBIT,0
1441552,264996.2,938068.8,1203065.0,1202801.62,937805.42,CASH_IN,0
4592936,1420888.31,0.0,0.0,2461508.67,3882396.98,TRANSFER,0
1411114,6865.35,5161.0,0.0,0.0,0.0,PAYMENT,0
5207994,33.32,23372.0,23338.68,0.0,0.0,PAYMENT,0
5258702,41334.6,0.0,0.0,1051666.37,1093000.97,CASH_OUT,0
1294764,98718.57,18611.0,117329.57,3107950.36,3009231.79,CASH_IN,0
3492636,643.02,0.0,0.0,321427.05,322070.06,DEBIT,0
